#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.452674
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-MATE-GAPS

>mateGap	frequency
817	2.97369e-07
818	2.88299e-07
819	2.84545e-07
820	2.71896e-07
821	2.78531e-07
822	2.76549e-07
823	2.73711e-07
824	2.79195e-07
825	2.66647e-07
826	2.57921e-07
827	2.52932e-07
828	2.498e-07
829	2.40897e-07
830	2.35522e-07
831	2.37403e-07
832	2.40595e-07
833	2.31205e-07
834	2.19993e-07
835	2.19968e-07
836	2.26888e-07
837	2.21362e-07
838	2.19951e-07
839	2.08941e-07
840	2.04195e-07
841	1.93932e-07
842	1.92152e-07
843	1.96007e-07
844	1.98006e-07
845	2.02213e-07
846	2.05892e-07
847	2.02549e-07
848	1.99257e-07
849	1.98039e-07
850	1.91925e-07
851	1.93999e-07
852	1.92001e-07
853	1.86222e-07
854	1.83476e-07
855	1.78538e-07
856	1.71651e-07
857	1.68459e-07
858	1.67342e-07
859	1.71835e-07
860	1.61673e-07
861	1.56399e-07
862	1.51679e-07
863	1.4706e-07
864	1.42088e-07
865	1.38997e-07
866	1.39098e-07
867	1.38535e-07
868	1.31262e-07
869	1.22334e-07
870	1.19621e-07
871	1.19647e-07
872	1.19915e-07
873	1.21083e-07
874	1.276e-07
875	1.27499e-07
876	1.26735e-07
877	1.19714e-07
878	1.19974e-07
879	1.18429e-07
880	1.23644e-07
881	1.20932e-07
882	1.19386e-07
883	1.22124e-07
884	1.17866e-07
885	1.14137e-07
886	1.2078e-07
887	1.16757e-07
888	1.21091e-07
889	1.19521e-07
890	1.09913e-07
891	1.10114e-07
892	1.08082e-07
893	1.06763e-07
894	1.01212e-07
895	1.04941e-07
896	1.04336e-07
897	1.02614e-07
898	9.69031e-08
899	9.53326e-08
900	9.22167e-08
901	9.16288e-08
902	8.8135e-08
903	8.51451e-08
904	7.57134e-08
905	8.4154e-08
906	8.10298e-08
907	7.97616e-08
908	8.34402e-08
909	8.10046e-08
910	8.01899e-08
911	7.89469e-08
912	8.31042e-08
913	8.22644e-08
914	8.05426e-08
915	8.04167e-08
916	7.91737e-08
917	7.90729e-08
918	8.00891e-08
919	7.61586e-08
920	7.67717e-08
921	7.78131e-08
922	8.10634e-08
923	7.956e-08
924	7.67465e-08
925	7.82414e-08
926	7.85942e-08
927	8.16345e-08
928	8.19368e-08
929	7.86446e-08
930	7.31687e-08
931	7.04811e-08
932	7.16485e-08
933	7.01032e-08
934	6.54419e-08
935	6.39974e-08
936	6.72896e-08
937	6.69369e-08
938	7.28663e-08
939	7.44368e-08
940	7.12706e-08
941	6.74912e-08
942	6.71385e-08
943	6.45517e-08
944	6.35859e-08
945	5.99577e-08
946	5.59515e-08
947	6.00836e-08
948	6.09991e-08
949	6.07723e-08
950	6.09991e-08
951	5.76312e-08
952	5.96889e-08
953	6.10327e-08
954	5.58591e-08
955	5.72785e-08
956	5.26341e-08
957	4.88295e-08
958	4.98709e-08
959	5.14163e-08
960	4.97953e-08
961	5.44818e-08
962	5.79756e-08
963	5.93949e-08
964	6.03356e-08
965	5.63295e-08
966	5.62035e-08
967	5.4507e-08
968	5.32892e-08
969	6.01592e-08
970	5.99577e-08
971	5.70685e-08
972	6.11755e-08
973	6.14022e-08
974	5.96049e-08
975	6.36614e-08
976	6.49548e-08
977	6.5106e-08
978	6.90617e-08
979	6.53328e-08
980	6.32499e-08
981	5.87399e-08
982	5.85635e-08
983	6.26452e-08
984	5.92522e-08
985	5.85971e-08
986	5.52544e-08
987	5.33228e-08
988	5.3222e-08
989	5.26677e-08
990	5.03328e-08
991	4.88295e-08
992	4.88295e-08
993	4.88295e-08
994	4.88295e-08
995	4.88295e-08
996	4.88295e-08
997	4.88295e-08
998	4.88295e-08
999	4.88295e-08
1000	4.88295e-08
1001	4.88295e-08
1002	4.88295e-08
1003	4.88295e-08
1004	4.88295e-08
1005	4.88295e-08
1006	4.88295e-08
1007	4.88295e-08
1008	4.88295e-08
1009	4.88295e-08
1010	4.88295e-08
1011	4.88295e-08
1012	5.23737e-08
1013	5.02993e-08
1014	4.96106e-08
1015	5.02741e-08
